Rank Team                            W-L-T    Rating
462  Bowie St                        6-4-0  -15.4128
463  Montclair St                    10-2-0 -15.4991
464  Centre                          6-4-0  -15.6371
465  Clark Atlanta                   4-6-0  -15.6723
466  Ottawa                          9-2-0  -15.7213
467  Hastings                        5-5-0  -15.9199
468  South Dakota Tech               7-3-0  -16.0811
469  Montana-Western                 1-10-0 -16.1883
470  Baker                           7-4-0  -16.2514
471  Minot St                        6-4-0  -16.4356
472  Belhaven                        4-7-0  -16.4789
473  Ursinus                         8-2-0  -16.5163
474  Benedictine KS                  7-4-0  -16.7285
475  Occidental                      4-5-0  -16.7522
476  Hampden-Sydney                  9-2-0   -16.841
477  Missouri S&T                    3-8-0  -16.8911
478  Davidson                        3-8-0  -16.9736
479  Simon Fraser                    0-9-0  -17.0759
480  Campbellsville                  7-5-0  -17.2018
481  Wash & Jeff                     9-2-0  -17.2545
482  Seton Hill                      2-9-0   -17.288
483  Wooster                         5-5-0  -17.4095
484  Western New Mexico              4-7-0  -17.4553
485  Stonehill                       5-5-0  -17.4807
486  Howard                          1-10-0 -17.8494
487  Langston                        6-4-0  -17.9869
488  Randolph-Macon                  7-3-0  -18.1712
489  Lewis & Clark                   4-5-0  -18.1743
490  Ripon                           7-3-0  -18.3394
491  Capital                         5-5-0  -18.3737
492  Rowan                           9-1-0  -18.4009
493  North Carolina Wesleyan         7-3-0  -18.4999
494  Fort Lewis                      3-7-0  -18.6681
495  Concordia IL                    8-2-0  -18.6788
496  Mississippi Valley St           0-10-0 -19.0671
497  Washington U.                   7-3-0  -19.1767
498  Upper Iowa                      2-9-0  -19.2427
499  Muhlenberg                      7-4-0    -19.32
500  Nebraska Wesleyan               4-6-0  -19.6472
501  Minn St-Moorhead                2-9-0  -19.6926
502  John Carroll                    5-5-0  -19.7398
503  Lycoming                        6-4-0  -19.7732
504  Hobart                          5-4-0   -19.833
505  Savannah St                     1-10-0 -19.9282
506  Black Hills St                  6-4-0  -19.9899
507  Whittier                        2-7-0  -20.1244
508  Allegheny                       7-3-0  -20.4257
509  UW-River Falls                  1-9-0  -20.4444
510  Tiffin                          1-10-0 -20.6528
511  Gettysburg                      6-4-0  -21.0736
512  Albion                          5-5-0  -21.2366
513  La Verne                        1-8-0  -21.2801
514  Kentucky Wesleyan               5-6-0  -21.3605
