Rank Team                            W-L-T    Rating
342  Austin Peay                     1-10-0 -1.60958
343  Shorter                         3-7-0  -1.97215
344  Tusculum                        5-5-0   -1.9837
345  Wittenberg                      9-1-0  -2.12056
346  St Anselm                       6-5-0  -2.23967
347  West Liberty                    6-5-0  -2.78393
348  Concordia-Moorhead              8-2-0  -2.84977
349  Colorado Mesa                   6-5-0  -2.85214
350  William Penn                    7-4-0  -3.32409
351  Miles                           6-4-0  -3.43246
352  Chapman                         8-1-0  -3.44642
353  Rocky Mountain                  5-6-0  -3.52639
354  Delaware St                     2-9-0    -3.605
355  Cornell                         1-8-0   -3.6433
356  Butler                          4-7-0  -3.76314
357  Virginia Union                  7-3-0  -3.78913
358  Lake Erie                       4-7-0  -3.89208
359  Bethel MN                       7-3-0  -4.08846
360  Western St CO                   4-7-0  -4.35323
361  Bowie St                        5-5-0  -4.38895
362  Glenville St                    5-6-0  -4.43893
363  Jackson St                      4-7-0  -4.71352
364  Missouri Valley                 8-2-0  -4.89741
365  OK Panhandle St                 7-3-0  -4.93087
366  Western New Mexico              5-6-0  -5.05738
367  Redlands                        6-3-0  -5.47758
368  North Central                   8-2-0  -6.30814
369  St Francis IN                   6-5-0  -6.47342
370  Texas Southern                  5-6-0  -6.52702
371  Campbell                        5-6-0  -6.56993
372  Ithaca                          7-3-0  -6.57338
373  Delaware Valley                 9-1-0  -7.10829
374  Robert Morris PA                1-9-0  -7.16945
375  Buffalo St                      7-3-0  -7.27283
376  McKendree                       5-6-0  -7.41539
377  UNC-Pembroke                    2-8-0  -7.68468
378  Nicholls St                     0-11-0  -7.8312
379  Black Hills St                  3-8-0  -7.96747
380  Robert Morris IL                8-3-0   -8.1217
381  Southeastern U.                 7-3-0  -8.17309
382  MidAmerica Nazarene             9-1-0  -8.43474
383  Pacific Lutheran                7-2-0  -8.62698
384  Central IA                      8-2-0  -8.63215
385  Langston                        7-3-0  -8.66363
386  Brevard                         0-10-0 -8.78177
387  Quincy                          6-5-0  -8.86278
388  Missouri S&T                    4-7-0  -8.91007
389  Tiffin                          5-6-0  -9.20429
390  Fort Lewis                      3-8-0  -9.44795
391  Valparaiso                      3-8-0  -9.60708
392  UW-Stevens Point                7-3-0  -9.73416
393  Arkansas Tech                   3-8-0  -9.74951
394  Columbia                        0-9-0  -9.76266
395  Kentucky Christian              5-6-0  -9.94797
396  Ursinus                         7-3-0  -10.0039
397  Guilford                        8-2-0  -10.0958
398  Hampden-Sydney                  7-3-0  -10.2141
399  Centre                          10-0-0 -10.2253
400  Edinboro                        3-8-0   -10.362
401  Siena Heights                   6-4-0  -10.4056
402  Hobart                          10-0-0 -10.5897
403  Fayetteville St                 5-5-0  -10.7441
404  Rowan                           7-3-0  -10.8341
405  Morehead St                     4-7-0  -10.8654
406  Elizabeth City St               4-6-0   -10.989
407  Southern Conn St                2-9-0  -11.1395
408  St Francis IL                   4-7-0  -11.2618
409  Fort Valley St                  6-4-0  -11.3242
410  Utica                           7-3-0  -11.3412
411  Salisbury                       6-4-0  -11.5413
412  Seton Hill                      3-8-0  -11.7017
413  Webber Int'l                    7-3-0  -11.7131
414  Montana Tech                    1-9-0  -11.8418
415  Gustavus Adolphus               6-4-0  -11.8494
416  Texas Lutheran                  9-1-0  -11.8722
417  Simon Fraser                    2-9-0  -12.2877
418  Lincoln MO                      2-9-0  -12.6651
419  Clarion                         2-9-0  -13.1216
420  Stetson                         5-6-0  -13.1623
421  UW-La Crosse                    3-7-0  -13.2382
422  TAMU-Kingsville                 2-9-0  -13.3915
423  Waynesburg                      8-2-0  -13.5363
424  Stillman                        5-5-0  -13.6053
425  Lycoming                        8-2-0  -13.7858
426  DePauw                          7-3-0  -13.8721
427  Wheaton                         10-0-0 -14.0552
428  Valley City St                  9-1-0  -14.0885
429  Urbana                          3-8-0   -14.133
430  Framingham St                   9-1-0  -14.2919
431  Louisiana College               6-4-0  -14.3405
432  Morehouse                       6-4-0  -14.3527
433  Ohio Northern                   7-3-0  -14.4385
434  Hardin-Simmons                  6-3-0  -14.4838
435  Arkansas-Pine Bluff             3-7-0  -14.5252
436  Lock Haven                      2-9-0  -14.5545
437  Baker                           8-3-0  -14.5589
438  Cumberland TN                   6-5-0  -14.6867
439  WV Wesleyan                     4-6-0  -14.7415
440  St Lawrence                     8-2-0  -14.9395
441  Kentucky St                     3-7-0  -15.1668
442  Pikeville                       5-6-0  -15.2995
443  Monmouth IL                     8-2-0  -15.3378
444  Franklin                        8-2-0  -15.5476
445  St Ambrose                      5-5-0    -15.58
446  Arkansas-Monticello             2-8-0  -15.5984
447  Mississippi Valley St           1-9-0  -15.7604
448  Central St OH                   4-6-0  -15.9071
449  Savannah St                     0-11-0 -15.9635
450  SW Oklahoma St                  3-7-0  -16.1439
451  William Jewell                  5-6-0  -16.2668
452  Malone                          1-10-0 -16.4396
453  Stevenson                       7-3-0  -16.5416
454  Carroll WI                      8-2-0  -16.5426
455  Oklahoma Baptist                8-3-0  -16.5491
456  Coll of Idaho                   4-7-0  -16.5676
457  Fairmont St                     3-7-0  -16.6506
458  Coe                             5-5-0  -16.6578
459  Emory & Henry                   8-2-0  -16.7674
460  SW Baptist                      4-7-0  -16.7855
461  Morrisville St                  8-2-0  -16.8721
462  UW-River Falls                  3-7-0  -16.9265
463  Brockport St                    5-5-0  -17.0217
464  Mt St Joseph                    8-2-0  -17.3637
465  Bridgewater VA                  8-2-0  -17.5333
466  Huntingdon AL                   7-3-0   -17.589
467  Adrian                          8-2-0  -17.7238
468  South Dakota Tech               2-9-0  -17.8851
469  Dixie St                        1-10-0  -17.891
470  Baldwin Wallace                 5-5-0  -17.8964
471  Alfred                          5-5-0  -17.9866
472  Pacific OR                      6-3-0  -18.0419
473  Gettysburg                      5-5-0  -18.0811
474  Benedict                        4-6-0  -18.0889
475  Franklin & Marshall             5-5-0   -18.398
476  Benedictine KS                  7-4-0  -18.5193
477  West Virginia St                2-9-0  -18.5593
478  Cumberlands KY                  3-7-0  -18.5975
479  Taylor                          5-6-0  -18.7383
480  Dubuque                         4-6-0  -19.1047
481  Northwestern IA                 8-2-0  -19.1954
482  Montana St-Northern             3-8-0  -19.2761
483  Virginia-Wise                   2-9-0   -19.366
484  Livingstone                     5-5-0  -19.6986
485  Ave Maria                       5-6-0  -19.7652
486  Houston Baptist                 2-9-0  -19.8188
